name,interval
1,"[[""PT0H"", ""PT1H""]]"
2,"[[""PT1H"", ""PT2H""]]"
3,"[[""PT2H"", ""PT3H""]]"
4,"[[""PT3H"", ""PT4H""]]"
5,"[[""PT4H"", ""PT5H""]]"
6,"[[""PT5H"", ""PT6H""]]"
7,"[[""PT6H"", ""PT7H""]]"
8,"[[""PT7H"", ""PT8H""]]"
9,"[[""PT8H"", ""PT9H""]]"
10,"[[""PT9H"", ""PT10H""]]"
11,"[[""PT10H"", ""PT11H""]]"
12,"[[""PT11H"", ""PT12H""]]"
13,"[[""PT12H"", ""PT13H""]]"
14,"[[""PT13H"", ""PT14H""]]"
15,"[[""PT14H"", ""PT15H""]]"
16,"[[""PT15H"", ""PT16H""]]"
17,"[[""PT16H"", ""PT17H""]]"
18,"[[""PT17H"", ""PT18H""]]"
19,"[[""PT18H"", ""PT19H""]]"
20,"[[""PT19H"", ""PT20H""]]"
21,"[[""PT20H"", ""PT21H""]]"
22,"[[""PT21H"", ""PT22H""]]"
23,"[[""PT22H"", ""PT23H""]]"
24,"[[""PT23H"", ""PT24H""]]"
25,"[[""PT24H"", ""PT25H""]]"
26,"[[""PT25H"", ""PT26H""]]"
27,"[[""PT26H"", ""PT27H""]]"
28,"[[""PT27H"", ""PT28H""]]"
29,"[[""PT28H"", ""PT29H""]]"
30,"[[""PT29H"", ""PT30H""]]"
31,"[[""PT30H"", ""PT31H""]]"
32,"[[""PT31H"", ""PT32H""]]"
33,"[[""PT32H"", ""PT33H""]]"
34,"[[""PT33H"", ""PT34H""]]"
35,"[[""PT34H"", ""PT35H""]]"
36,"[[""PT35H"", ""PT36H""]]"
37,"[[""PT36H"", ""PT37H""]]"
38,"[[""PT37H"", ""PT38H""]]"
39,"[[""PT38H"", ""PT39H""]]"
40,"[[""PT39H"", ""PT40H""]]"
41,"[[""PT40H"", ""PT41H""]]"
42,"[[""PT41H"", ""PT42H""]]"
43,"[[""PT42H"", ""PT43H""]]"
44,"[[""PT43H"", ""PT44H""]]"
45,"[[""PT44H"", ""PT45H""]]"
46,"[[""PT45H"", ""PT46H""]]"
47,"[[""PT46H"", ""PT47H""]]"
48,"[[""PT47H"", ""PT48H""]]"
49,"[[""PT48H"", ""PT49H""]]"
50,"[[""PT49H"", ""PT50H""]]"
51,"[[""PT50H"", ""PT51H""]]"
52,"[[""PT51H"", ""PT52H""]]"
53,"[[""PT52H"", ""PT53H""]]"
54,"[[""PT53H"", ""PT54H""]]"
55,"[[""PT54H"", ""PT55H""]]"
56,"[[""PT55H"", ""PT56H""]]"
57,"[[""PT56H"", ""PT57H""]]"
58,"[[""PT57H"", ""PT58H""]]"
59,"[[""PT58H"", ""PT59H""]]"
60,"[[""PT59H"", ""PT60H""]]"
61,"[[""PT60H"", ""PT61H""]]"
62,"[[""PT61H"", ""PT62H""]]"
63,"[[""PT62H"", ""PT63H""]]"
64,"[[""PT63H"", ""PT64H""]]"
65,"[[""PT64H"", ""PT65H""]]"
66,"[[""PT65H"", ""PT66H""]]"
67,"[[""PT66H"", ""PT67H""]]"
68,"[[""PT67H"", ""PT68H""]]"
69,"[[""PT68H"", ""PT69H""]]"
70,"[[""PT69H"", ""PT70H""]]"
71,"[[""PT70H"", ""PT71H""]]"
72,"[[""PT71H"", ""PT72H""]]"
73,"[[""PT72H"", ""PT73H""]]"
74,"[[""PT73H"", ""PT74H""]]"
75,"[[""PT74H"", ""PT75H""]]"
76,"[[""PT75H"", ""PT76H""]]"
77,"[[""PT76H"", ""PT77H""]]"
78,"[[""PT77H"", ""PT78H""]]"
79,"[[""PT78H"", ""PT79H""]]"
80,"[[""PT79H"", ""PT80H""]]"
81,"[[""PT80H"", ""PT81H""]]"
82,"[[""PT81H"", ""PT82H""]]"
83,"[[""PT82H"", ""PT83H""]]"
84,"[[""PT83H"", ""PT84H""]]"
85,"[[""PT84H"", ""PT85H""]]"
86,"[[""PT85H"", ""PT86H""]]"
87,"[[""PT86H"", ""PT87H""]]"
88,"[[""PT87H"", ""PT88H""]]"
89,"[[""PT88H"", ""PT89H""]]"
90,"[[""PT89H"", ""PT90H""]]"
91,"[[""PT90H"", ""PT91H""]]"
92,"[[""PT91H"", ""PT92H""]]"
93,"[[""PT92H"", ""PT93H""]]"
94,"[[""PT93H"", ""PT94H""]]"
95,"[[""PT94H"", ""PT95H""]]"
96,"[[""PT95H"", ""PT96H""]]"
97,"[[""PT96H"", ""PT97H""]]"
98,"[[""PT97H"", ""PT98H""]]"
99,"[[""PT98H"", ""PT99H""]]"
100,"[[""PT99H"", ""PT100H""]]"
101,"[[""PT100H"", ""PT101H""]]"
102,"[[""PT101H"", ""PT102H""]]"
103,"[[""PT102H"", ""PT103H""]]"
104,"[[""PT103H"", ""PT104H""]]"
105,"[[""PT104H"", ""PT105H""]]"
106,"[[""PT105H"", ""PT106H""]]"
107,"[[""PT106H"", ""PT107H""]]"
108,"[[""PT107H"", ""PT108H""]]"
109,"[[""PT108H"", ""PT109H""]]"
110,"[[""PT109H"", ""PT110H""]]"
111,"[[""PT110H"", ""PT111H""]]"
112,"[[""PT111H"", ""PT112H""]]"
113,"[[""PT112H"", ""PT113H""]]"
114,"[[""PT113H"", ""PT114H""]]"
115,"[[""PT114H"", ""PT115H""]]"
116,"[[""PT115H"", ""PT116H""]]"
117,"[[""PT116H"", ""PT117H""]]"
118,"[[""PT117H"", ""PT118H""]]"
