id,start_hour,end_hour
MIDNIGHT,00:00:00,00:59:00
ONEAM,01:00:00,01:59:00
TWOAM,02:00:00,02:59:00
THREEAM,03:00:00,03:59:00
FOURAM,04:00:00,04:59:00
FIVEAM,05:00:00,05:59:00
SIXAM,06:00:00,06:59:00
SEVENAM,07:00:00,07:59:00
EIGHTAM,08:00:00,08:59:00
NINEAM,09:00:00,09:59:00
TENAM,10:00:00,10:59:00
ELEVENAM,11:00:00,11:59:00
NOON,12:00:00,12:59:00
ONEPM,13:00:00,13:59:00
TWOPM,14:00:00,14:59:00
THREEPM,15:00:00,15:59:00
FOURPM,16:00:00,16:59:00
FIVEPM,17:00:00,17:59:00
SIXPM,18:00:00,18:59:00
SEVENPM,19:00:00,19:59:00
EIGHTPM,20:00:00,20:59:00
NINEPM,21:00:00,21:59:00
TENPM,22:00:00,22:59:00
ELEVENPM,23:00:00,23:59:00
