year,zone,hour,ev_trip_start,ev_trip_elec
2015,E09000003,MIDNIGHT,38,39.5
2015,E08000030,MIDNIGHT,40,30.55
2015,E07000180,MIDNIGHT,27,4.61
2015,E08000031,MIDNIGHT,27,8.74
2015,E09000002,MIDNIGHT,16,6.09
2015,E09000005,MIDNIGHT,41,7.98
2015,E07000181,MIDNIGHT,14,9.39
2015,E07000061,MIDNIGHT,18,12.28
2015,E09000004,MIDNIGHT,36,13.68
2015,E09000007,MIDNIGHT,12,4.55
2015,E08000034,MIDNIGHT,57,21.96
2015,E08000035,MIDNIGHT,133,42.27
2015,E09000006,MIDNIGHT,41,6.78
2015,E09000009,MIDNIGHT,33,5.39
2015,E08000032,MIDNIGHT,74,12.76
2015,E09000008,MIDNIGHT,33,5.72
2015,E08000033,MIDNIGHT,22,2.07
2015,E07000066,MIDNIGHT,25,2.05
2015,E07000187,MIDNIGHT,15,7.59
2015,E07000067,MIDNIGHT,28,3.94
2015,E07000188,MIDNIGHT,20,13.66
2015,E07000068,MIDNIGHT,12,0.0
2015,E07000189,MIDNIGHT,30,1.34
2015,E07000069,MIDNIGHT,7,2.23
2015,E07000062,MIDNIGHT,13,0.55
2015,E07000063,MIDNIGHT,12,2.2
2015,E07000064,MIDNIGHT,16,2.86
2015,E07000065,MIDNIGHT,30,1.22
2015,E08000036,MIDNIGHT,45,53.11
2015,E08000037,MIDNIGHT,23,2.88
2015,E09000001,MIDNIGHT,0,0.0
2015,E09000014,MIDNIGHT,16,16.95
2015,E07000190,MIDNIGHT,13,0.43
2015,E07000070,MIDNIGHT,32,1.0
2015,E09000013,MIDNIGHT,11,5.93
2015,E07000191,MIDNIGHT,2,0.0
2015,E07000071,MIDNIGHT,26,0.0
2015,E09000016,MIDNIGHT,29,8.18
2015,E07000192,MIDNIGHT,18,3.45
2015,E07000072,MIDNIGHT,21,19.29
2015,E09000015,MIDNIGHT,26,8.26
2015,E07000193,MIDNIGHT,17,4.49
2015,E08000023,MIDNIGHT,10,0.0
2015,E09000018,MIDNIGHT,37,22.12
2015,E09000017,MIDNIGHT,43,26.97
2015,E08000024,MIDNIGHT,46,15.43
2015,E08000021,MIDNIGHT,46,13.37
2015,E08000022,MIDNIGHT,38,6.0
2015,E09000019,MIDNIGHT,12,6.25
2015,E07000077,MIDNIGHT,18,6.45
2015,E07000198,MIDNIGHT,10,0.71
2015,E07000199,MIDNIGHT,15,3.98
2015,E07000078,MIDNIGHT,14,1.78
2015,E07000079,MIDNIGHT,12,1.05
2015,E07000073,MIDNIGHT,11,8.71
2015,E07000194,MIDNIGHT,13,0.55
2015,E07000074,MIDNIGHT,12,1.91
2015,E07000195,MIDNIGHT,20,6.88
2015,E07000075,MIDNIGHT,10,6.49
2015,E07000196,MIDNIGHT,19,3.61
2015,E07000076,MIDNIGHT,19,0.41
